ID,Code,COMPANY,INDUSTRY,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,REVENUE,EMPLOYEE,$/EMPL,CONTACT,POS,EMAIL
C,,A & M Compressed Air Products,Air products,121 N Plains Industrial Rd Ste T.,Wallingford,CT,6492,(203) 697-1177,www.amcompair.com,10,15,0.67,Jason Normandin ,President,jnormandin@amcompair.com
I,,"A&B Process Systems Corp, a Business Unit of JBT Corporation",Turnkey solutions for advance process systems SS,212700 Stainless Ave,Stratford,WI,54484,(715) 687-4332,www.abprocess.com,7.9,378,0.02,Brian Deck,President & CEO,abprocess@jbtc.com
I,,"A&E Engineering, Inc.","Process, factory automation & Manufacturing cloud",805 Suburban Park Drive,Greer,SC,29651,(864) 527-6400,https://aeengr.com/,12.8,68,0.19,Wright Sullivan,President,wright.sullivan@aeengr.com
D,,A&L Hydraulic Inc.,"Pumps, Valves & Hydrolic solutions",4412 South 87 St.,Omaha,NE,68127,(402) 339-3873,www.a-lhydraulics.com,5,25,0.20,Dennis Anderson,President,dennisa@a-lhydraulics.com 
N,,A&M Industrial,"NAHAD,Brochure",P.O. Box 1044 37 West Cherry St.,Rahway,NJ,7065,(800) 864 -2660,www.am-ind.com,23.9,200,0.12,Mark Abraham,CIO,
I,,"A.H.Mackenzie Design, LLC","Software Toolbox, Siemens",11 E Gorham Industrial Parkway,Gorham,ME,4038,(207) 619-1622,www.ahmackenziedesign.com,1,10,0.10,Alec Mackenzie ,President,alec@ahmackenziedesign.com
I,,A.K. de Rama Industrial Control Systems,Integrator Guide,253 Sheffield St,Mountainside,NJ,7092,(908) 789-1600,www.akderama.net,5,25,0.20,Tony de Rama,President,
N,,A-1 Coupling & Hose,"NAHAD,Brochure",2050 W Broadway,Eugene ,OR,97402,(800) 452-2524,https://a1coupling.com/,8.8,35,0.25,Wes Evans,Vice President,wes@a1coupling.com
D,,AAP Automation & Advanced Air Products,Parker; SMC; Rexroth,2901 S Tejon St.,Englewood,CO,80110,800-748-2043,www.aapautomation.com,13.8,45,0.31,Charlie Smith,CFO,charliesmith@aapautomation.com 
I,,Aarell Process Controls Group,Integrator Guide,6125 Center Drive,Sterling Heights,MI,48312,586.274.0505,https://indicon.com/aarell-process-controls.html,5,50,0.10,Jack Iannantuono,Owner ,
I,,Aaron Associates Of Connecticut Inc,Integrator Guide,2 Mattoon Road,Waterbury,CT,6702,(203) 753-1536,https://aaronct.com/,5,17,0.29,Carmen Corvigno,Owner,gcorvigno@aaronct.com
D,,Aaxion Inc.,Parker,"3630 W Miller Rd, #310",Garland,TX,75041,(214) 221-0800,www.aaxioninc.com,5.9,20,0.30,Kent Clifton,President,kent@aaxioninc.com
I,,AB Controls,Rockwell Automation,15530 Rockfield Blvd Suite B2,Irvine,CA,92618,(949) 341-0977,https://www.abcontrols.com/,5,14,0.36,Mike Nariman,President,mnariman@abcontrols.com
I,,AB Industry Inc.,"Mitsubishi, Allen Bradley, Opto22, Omron, RS Logix, Wonderware, Intellusion",13661 Jupiter Rd Ste 300,Dallas,TX,75238,(972) 479-5572,www.abindustry.com,26.2,13,2.02,Lukasz Kisielewski ,President,lukasz.kisielewski@abindustry.com
I,,"Abacus Industrial Technologies, Inc.",Integrator Guide,110 Dogwood Lane,St. Marys,PA,15857,(814).781.1001,www.abacusindustrialtechnologies.com,5,10,0.50,Adam Herzing ,President,abacus@windstream.net
N,,"Abbott Rubber Company, Inc.","NAHAD,Brochure",1311 Meacham Rd,Itasca,IL,60143,(847) 952-1800,www.abbottrubber.com,23.5,34,0.69,Terry Weiner,Owner,terry@abbottrubber.com
E,,"Abbott Supply, LLC",Automotive Service & Collision Repair,3030 Locust St.,Quincy,IL,62301,(217) 222-7291,https://www.abbottsupply.net/,5.3,8,0.66,,,
N,,"ABC Industries, Inc.","NAHAD,Brochure",301 Kings Hwy,Winona Lake,IN,46590,(800) 426-0921,https://www.abc-industries.net/,27.3,214,0.13,Jeanice Croy,CEO,
I,,ABCo Automation,Integrator Guide,6202 Technology Dr,Browns Summit,NC,27214,(336) 375 - 6400,https://www.goabco.com/,15.4,118,0.13,Mimi Morton,President,mimi@goabco.com
S,,Abender,Commercial,2921 Hangar Way,Bakersfield,CA,93308,(855)-800-7652,http://a-csolar.com/,5,1,5.00,DAREN T ALEXANDER,President,
D,,"Aberdeen Dynamics, LLC",Parker,17717 E. Admiral Place,Tulsa,OK,74158,(918) 437-8420,www.aberdeendynamics.com,32.9,68,0.48,Joseph Martin,President,jmartin@aberdeendynamics.com
I,,"Abilitek, Incorporated",Rockwell Automation,12013 SW129th Court Unit 5,Miami,FL,33186,(305).233.4041,www.abilitek.com,5,25,0.20,Ron Sauer ,President,
I,,Able-Baker Automation,Integrator Guide,1070 Larch Ave,Moraga,CA,94556,(510) 601-9396,https://www.able-baker.com/,5,4,1.25,Wendell Baker,President,wendell@able-baker.com
I,,ABM Equipment,Inductive Automation,13911 NW 3rd Ct,Vancouver,WA,98685,(360) 558-7156,https://abmequipment.com/,8.2,38,0.22,John Cassa,President,
I,**,Absolute Engineering Co.,"Industrial Design, Industrial Engineering, Fabrication, Equipment Selection, ","1000 N Ashley Dr, Suite 925","Tampa,",FL,33602,813-221-1516,,8,43,0.19,John Cassa,President,jcassa@abmequipment.com
I,,AC Controls,Integrator Guide,715 N. Westwood Ave.,Toledo,OH,43607,(419) 535-9715,www.absoluteengineering.com,1,93,0.01,Dan Strzesynski ,President,
I,,AC Corporation,"Systems Integration, Process Control, Combustion Management, Industrial Instruments, Valves, Analytical Instruments, Heat Trace, and Level Measurement",8600 Westmoreland Dr. NW,Concord,NC ,28027,(704) 545-4500,http://www.accontrols.com/,124,123,1.01,Jim Borders,President,jim.borders@accontrols.com
S,,A-C Solar,Commercial,"3809 JUNIPER TRACE, SUITE 100",Austin,TX,78738,(866).298.1632,https://7x.energy/,5,18,0.28,Clay Strickland,Vice President,
I,,AC TECHNICAL SERVICES,Integrator Guide,301 Creek Ridge Road,Greensboro,NC,27406,(336) 273-4472,www.accorporation.com,25,15,1.67,Mike Garibay,President,
I,,A-C Technology Solutions,"Systems Integration, Process Control, Industrial Instruments, Valves",8600 Westmoreland Dr NW,Concord,NC,28027,(704) 573-7005,http://www.actechnicalservices.com/,10,54,0.19,Jim Borders,President,jim.borders@accontrols.com
I,,ACA Control Systems Ltd.,"Rockwell Automation, Wonderware, GE, Siemens, UL, BALDOR, Automation Direct, Emerson, Schneider Electric",2560 S. East Ave.,Fresno,CA,93706,(559) 277-3488,http://www.a-ctech.com/,4,25,0.16,David Morton,"Vice President, Operations",davemorton@a-celectric.com
D,,Acacia Partners LLC,Parker,2717 Breckenridge Industrial Ct.,St. Louis,MO,63144,(314) 645-5003,www.zeuschel.com,4,10,0.40,Bob Zeuschel,President/ Owner,b.zeuschel@zeuschel.com
I,,"Accent Controls, Inc.","Managed IT Services,IT Consulting Services,Cloud Backup & Recovery,Specifications & Purchasing,Software Development",10975 Benson Dr,Overland Park,KS,66210,(913) 220-2882,http://www.acadeus.com/,1,7,0.14,Charles Jabara,Managing Director,charles.jabara@acadeus.com
N,,"Accord International, Inc.","marine, petrochemical, and industrial supplier of hoses",301 Kings Hwy,Winona Lake,IN,46590,(574) 267-5166,www.abc-industries.net,5,4,1.25,Jennifer Kussmaul,,jkuss@abc-industries.net
N,,"Ace Hose and Rubber Co., Div. of Amerisource Suppl","NAHAD,Brochure","4380 S. Wayside Dr., Suite 100",Houston,TX,77087,(713) 641-1979,www.accordintl.com,5,24,0.21,Allen W. Pinkerton,President,allen@accordintl.com
A,,"Ace Technologies, LLC","Rockwell Automation, ISA, CSIA, Cognex, Wonderware","7301 E. 90th St., Suite 103",Indianapolis,IN,46256,(317) 578-0558,www.acetechllc.com,4,30,0.13,Andre Guillaume,President / CEO,aguillaume@acetechllc.com
I,,"ACES Automation, Inc",Rockwell Automation,1601 Burlington St,North Kansas City,MO,64116,(816) 483-6330,https://www.accentcontrols.com/,10,500,0.02,Mary Janiak,President,Mjaniak@accentcontrols.com
I,,ACET Solutions LLC,"Rockwell Automation, Systenm Integrator",901 Cillessen Court,Farmington,NM,87401,(505) 326-2424,http://www.acesnm.com/,14,76,0.18,Gary Spies,President,gspies@acesautomation.com
D,,ACI Controls,Parker,295 Main Street,West Seneca,NY,14224,(800) 333-7519,www.aci-controls.com,11,50,0.22,Robert Wischerath,President,robert.wischerath@aci-controls.com
I,,"Acieta, LLC","ICS Cybersecurity, PLC, SCADA, HMI, Process Automation, Industrial CyberSecurity, Industrial Automation, Safety, Integration, OT Security, Industrial Intelligence, and IEC62443",1400 Park Row Dr,Houston,TX,77084,(832) 506-2797,https://www.acetsolutions.com/,1,9,0.11,Ibne Syed,Country Manager,san@acetsolutions.com
I,,Acme Manufacturing Company,Integrator Guide,4240 North Atlantic Blvd,Auburn Hills,MI,48326,(248)-393-7300 ext: 208,www.acieta.com/about-us/locations/iowa/,10,177,0.06,Mark Sumner ,National Sales Manager,msumner@acieta.com
I,,Acorn Technology Corporation,Integrator Guide,23103 Miles Road,Cleveland,OH,44128,(216) 663-1244,www.acmemfg.com,5,8,0.63,Joe Saad ,Director of Sales,saadj@acmemfg.com
I,,"AcornVac, Inc.",Integrator Guide,23103 Miles Road,Cleveland,OH,44128,(216) 663-1244,www.acorntechnology.com,10,23,0.43,Robert Green ,VIce President,rgreen@acorntechnology.com
I,,Acquired Data Solutions,"Vacuum Plumbing, Water Conservation, Water Sustainability, and Security Fixtu",13818 Oaks Ave.,Chino,CA,91710,(909) 902-1141,https://www.acornvac.com/,4,23,0.17,Laura Marshall,Vice President,lmarshall@acornvac.com
F,,ACR Supply Company Inc.,Goodyear; Gates,1017 Hampshire St.,Quincy,IL,62306,(217) 223-9950,www.abbottsupply.net,20,50,0.40,Angela Walbring,President,awalbring@abbottsupply.net
I,,Acropolis Engineers,"Data Acquisition Systems, Monitor and Control Systems, Test and Measurement Systems, Quality Assurance Testing, Sensor Integration, Vibration Analysis, Instrumentation, Hardware Development, Software Development, Cybersecurity, Custom Platforms, RMF Compliance, CMMC Compliance, Functional Test System, Operational Test System, and Automated Test System","11900 Parklawn Dr, Ste 420 Suite 510",Rockville,MD,20852,(301)-984-4193,https://acquireddatasolutions.com/,5,26,0.19,Steven Seiden,President,steve.seiden@acquiredata.com
I,,"ACS Engineering, Inc.","Integrated Design, Systems Integration, Instrumentation and Controls","633 Liberty Drive, Suite 500",Verona,WI,53593,(608) 663-1590,http://www.acscm.com/,41.8,67,0.62,Scott Hoselton,President,shoselton@acscm.com
D,,ACS Hydraulics,Denison; Eaton; Bosch; Rexroth,1101 Stanley Dr.,Euless,TX,76040,(817) 267 9444,www.acshydraulics.com,50,100,0.50,Stephen Drilling,President,drilling@acshydraulics.com
I,,"ACS Services, Inc.","Wonderware, Rockwell Automation","33 Hammond, Ste 209",Irvine,CA,92618,(949) 297-3777,http://www.acsengineering.net/,4,20,0.20,Bob Kavoossi,President,bobk@acsengineering.net
I,,Actemium,"IT Support, IT Managed Services, Network Support, Server Support, Disaster Recovery, IT Consultation, and Cloud Services",11390 Old Roswell Road,Alpharetta,GA,30009,(678) 899-1372,http://www.actemium.com/,7.6,25,0.30,Karl-Heinz Lochner,Vice President,contact.inp@actemium.com
I,,"Action Equipment Solutions, Inc.","Design and Implenentation of Sophisticated Equipment for Manufacturing, Process, and Other Industrial Facilities",109 Demand Court,Georgetown,KY,40324,(502)-863-9050,https://aesi-ky.com/,5,25,0.20,Amy Curtis,Controller,info@aesi-ky.com
F,,Action Industrial Group LLC,"Gates,Brochure",2416 Alwin Ct,Raleigh,NC,27604,(919) 861-2277,www.acrsupply.com,22,118,0.19,Troy Meachum,President,troym@acrsupply.com
N,,Ace Hose and Rubber,Hose Products,701 S Olive Ave Unit 802,West Palm Beach,FL,33401,312-850-4673,www.acehose.com,5,25,0.20,Bruce Behrstock,President,brubehrs@acehose.com
S,,"Ace, LLC Solar",Energy Contracting Company,117 West Madison Street,Pulaski,TN,38478,(931) 638-4639,http://acellcsolar.com/,5,25,0.20,CHUCK BOGGS,CEO & PRESIDENT,nfo@acellcsolar.com
I,,Acutek Automation,Industrial Automation company specializing in productivity software and electrical control panels,11433 Williamson Rd,Cincinnati,OH,45241,(513) 769-4546,,5.4,25,0.22,David Tryling ,President,
N,,Adam- Hill Company,Industrial Machinery and Equipment,142 Utah Ave,South San Francisco,CA,94080,(650) 589-9655,www.adam-hill.com,5,25,0.20,Mary Melson,Credit Manager,
I,,"ADAPT Automation, Inc.",Integrator Guide,1661 Palm Street,Santa Ana,CA,92701,(714) 662-4454,www.adaptautomation.com,10,20,0.50,Peter Smit ,VP,peter@adaptautomation.com
I,,Adaptek Systems,Integrator Guide,14224 Plank Street,Fort Wayne,IN,46818,(260)-637-8660,www.adapteksystems.com,17.8,99,0.18,Joe DePrisco,President,sales@adapteksystems.com
I,,"Adaptive Equipment, Inc.",Integrator Guide,"2512 N.E. 1st Blvd., Suite 400",Gainesville,FL,32609,(352)-284-8590,www.adaptivequipment.com,5,25,0.20,Jennifer Reeves,Office Manager,
I,,Adaptive Resources,"Rockwell Automation, Wonderware",1825 E Plano Pkwy Suite 180,Plano,TX,75074,(469) 270-5559,www.adaptiveresources.com,1,50,0.02,Eliseo Rodriguez,President / CEO,erodriguez@adaptiveresources.com
I,,Adcon Engineering Co.,"Machine Safeguarding, Automation Sensors, Panel Components, Connectivity Products, Industrial Wireless, HMI and PLC Control, RFID and Barcode, Value Add Solutions",20102 Progress Drive,Strongsville,OH,44149,(440) 238-3915,https://adconengineering.com/wp/,5,25,0.20,Morgan Rector,Account Manager,sales@adconengineering.com
I,,Adgo Engineering and Controls,Integrator Guide,3988 McMann Road,Cincinnati,OH,45241,(513) 752 -6880 ext: 116,www.adgoinc.com,5.3,25,0.21,Donna Reynolds,CEO,Info@Adgocontrols.com
I,,"Advanced Automated Controls, Inc.",Integrator Guide,473 Easton Tpke,Lake Ariel,PA,18436,(570) 842-5842,www.aac247.com,5,25,0.20,John Kernoschak ,President,john@aac247.com
I,,Advanced Control Solutions,"Automation, Machine Vision, Robotics, Motion Control, IIoT, Framing, Enclosures, Automation Controllers, and Sensors & Connectivity",1400 Williams Drive,Marietta,GA,30066,(800) 969-7772,https://advancedcontrolinc.com/,6.2,25,0.25,Dave Pilliod,President,dpilliod@acs-ga.com
I,,"Advanced Control Systems, LLC - ACS","Inductive Automation, Rockwell Automation, Schneider Electric / AVEVA,EZ Automation, Omron, GE, Siemens, Automation Direct, ",2540 E Franklin Rd,Meridian,ID,83642,(208) 362-5858,http://www.advancedcontrol.com/,14.1,31,0.45,Deanne Landreth,"Principal, President",deanne@advancedcontrol.com
I,,Advanced Control Technologies,Integrator Guide,23011 Moulton Pkwy F6,Laguna Hills,CA,92653,(949) 581-5584,https://www.yelp.com/biz/advanced-control-technology-laguna-hills,5,25,0.20,Thomas Reynolds,Owner,tom@act4vision.com
I,,"Advanced Controls, Inc","ABB, Rockwell","34300 Lakeland Blvd, Unit 1",Eastlake,OH,44095,(440) 354-5413,http://www.advancedcontrolsinc.com/,6.4,25,0.26,Paul O'Connor,President,p.oconnor@advancedcontrolsinc.com
I,,Advanced Electrical Technologies,Rockwell Automation,1081 Columbia Blvd.,Longview,WA,98632,(360) 423-2245,https://www.aet-pneco.com/,5,25,0.20,Wayne Plocharsky,Executive Vice President,waynep@aet-pneco.com
I,,Advanced Energy Control,Rockwell Automation,1121 Columbia Blvd.,Longview,WA,98632,(360) 423-2245,https://www.aet-pneco.com/,4,21,0.19,Wayne Plocharsky,Executive Vice President,waynep@aet-pneco.com
S,,Advanced Energy Systems,"Refrigeration Control, Energy Management, Demand Control, Demand Response, and Temperature Monitoring, Opto22",N9935 Pleasant Rd. P.O. Box 130,Randolph,WI,53956,(920) 326-3348,https://www.advancedenergycontrol.com/,5,25,0.20,Nathan Bartlett,Vice President / Senior Project Engineer,nathanb@advancedenergycontrol.com
I,,Advanced Engineering & Environmental Services / AE2S,"Water System Consulting, Water Resources System Consulting, GIS & Mapping, Structural Engineering, Electrical Engineering, General Civil Engineering, Instrumentation & Controls",6901 East Fish Lake Rd,Maple Grove,MN,55369,(763) 463-5036,https://www.ae2s.com/,43.3,241,0.18,Grant Meyer,CEO,grant.meyer@ae2s.com
I,,"Advanced Engineering, Inc.","SauerDanfoss,Brochure",245 Campbell Road,York,PA,17402,(717) 757 1068,www.afsfa.com,15,35,0.43,Dale Slayton,President,hdslayton@afsfa.com
D,,Advanced Fluid Systems,Full Service Distributor of Hydraulic and Pneumatic Components,751 Hurricane Shoals Rd NE,Lawrenceville,GA,30043,(770) 963-6164,https://www.advancedfluidsystems.com/,7.9,37,0.21,Dale Slayton,President,hdslayton@afsfa.com
R,C,Advanced Fluid Systems,"dehydration, filtration and separation of air, gas and liquids",15019 N.Brentwood,Channelview,TX,77530,(281) 452-4867,https://www.advancedfluids.com/index.php,5,25,0.20,James Councilor,Manufacturer's Representative,
S,,Advanced Green Technologies," solar contractor specializing in the design, procurement, and construction (EPC) of commercial, industrial, and utility-scale solar energy projects",2100 NW 21st Ave,Fort Lauderdale,FL,33311,(954) 735-2641,https://www.agt.com/,5,25,0.20,Mike Garvey,Executive Vice President,webmaster@agt.com
I,,"Advanced Industrial Controls, Inc.","Siemens, KUKA, Control Techniques",1003 W. Broadway,Steeleville,IL,62288,(888) 215-2147,https://advancedindustrialcontrols.com/,5,21,0.24,Jason Tretter,President,jason@advancedindustrialcontrols.com
I,,"Advanced Industry Support, Inc.",Integrator Guide,6400 Shelby View Drive Suite 1110,Memphis,TN,38134,(901)-383-9744,www.aisimem.com,5.5,25,0.22,Rick Combs,Marketing and Sales Representative,
I,,Advanced Integrated Technology,"AGVs,Automated Systems for Part-to-Part Assembly,Circumferential Driller,Friction Stir Welding,Laser Indexing Systems,NCDJ,Positioning Systems",361 Industrial Drive,Mountain View,AR,72560,(870) 269-4367,https://www.a-i-t.com/,5,25,0.20,Cheri Prince,CEO,info@a-i-t.com
I,,Advanced Integration Group Inc.,"Phoenix Contact, Rockwell Automation, Wonderware",1 McCormick Road,McKees Rocks,PA,15136,(412) 722-0065,www.aigcontrols.com,5,25,0.20,Sarah Chappel,"Director, Marketing & Business",
I,,Advanced Integration Technology,Integrator Guide,2805 E. Plano Pkwy. Suite 100,Plano,TX,75074,(972)-423-8354,www.aint.com,199.3,500,0.40,Ed Chalupa,Chairman & Chief Executive Officer,ait@aint.com
I,,Advanced Machine & Tool,Integrator Guide,3706 Transportation Drive,Fort Wayne,IN,46818,(260)-489-3572,www.amt-corp.com,24.3,83,0.29,Erik Linnemeier ,Vice President,elinnemeier@amt-corp.com
I,,Advanced Machine Automation,Integrator Guide,1024 11th Court West,Birmingham,AL,35204,(205)-581-1234,www.advancedmachineauto.com,1,25,0.04,Randy Hydrick ,President,rhydrick@flowdynamics.net
A,,Advanced Pneumatics Company(a Hartfiel Automation Co.),Yamaha; Camozzi; Universal,9708 Ashley Dawn Court,Fredericksburg,VA,22408,(540) 898-4511,www.advpneumatics.com,50,200,0.25,Mike Kozloff,Regional Manager,mkozloff@advpneumatics.com
I,,CP Group,manufacturer of industrial recycling equipment and waste management systems,6795 Calle De Linea,San Diego,CA,92154,(619)-477-3175,https://www.cpgrp.com/,50.5,180,0.28,Ah Voa,Demolition CEO,
S,,Advanced Green Products," contractor specializing in the design, procurement, and construction (EPC) of commercial, industrial, and utility-scale solar energy projects",2100 NW 21st Ave,Fort Lauderdale,FL,33311,(954) 735-2641,https://www.agt.com/,5,25,0.20,Mike Garvey,Executive Vice President,webmaster@agt.com
I,,Advanced Systems Integrators Ltd,Integrator Guide,1020 West 14 Mile Road,Clawson,MI,48017,(248)-658-1900 ext: 112,www.AdvancedSystems-Inc.com,5,25,0.20,Dave Graziano ,Vice-President,DGraziano@AdvancedSystems-Inc.com
I,,Advanced Technical Services,"Automation, AGV systems, HMI systems",921 Twin Elms Court,Nashville,TN,37210,(615) 456-3350,www.advanced-technical.com,1,6,0.17,Chris Keith,Owner,chris@advanced-technical.com
I,,Advanced Telemetry Systems International,"EATON, USG, SLOAN, COOPERTIRES","43176 Business Park Dr, Ste 108",Temecula,CA,92590,(760) 738-6804,http://atsionline.com/,6.8,34,0.20,Jim LaVine,President & CEO,jim@atsionline.com
I,,AdvanTech Corporation,Rockwell Automation,"20 Just Road, Suite 120,",Fairfield,NJ,7004,(973) 808-8550,www.advantech.com,6,15,0.40,Paula Hauer,President,jim@atsionline.com
A,,Advent Design Corporation,"Engineering, Automation, Robotic Integration, Machine Safety, Stop Time Analyzer",925 Canal Street,Bristol,PA,19007,(215) 781-0500,www.adventdesign.com,17.5,125,0.14,Bill Chesterson,Owner & CEO,
I,,"Advent Electric, Inc.","PLC and HMI programming, control design and fabrication, industrial network design, motion contorl",301 E. Fourth St.,Bridgeport,PA ,19405,(301) 317-0700,http://www.advent-elect.com,5,27,0.19,Howard Korth,President,hkorth@advent-elect.com
I,,"Advint, LLC","Portable rugged field deployable test platforms, rotating equipment testers, FPGA/RF/electronic warfare systems, medical device testers, avionics testers",6880 Tussing Road,Reynoldsburg,OH,43068,(614) 863-2433 ext: 226,www.advint.com,5.3,25,0.21,Paul Salopek ,President & CEO,psalopek@advint.com
I,,"AEC Engineering, LLC",Evironmental/Civil engineering services,1116 S 10th Ave,Edinburg,TX,78539,(956) 380-6558,www.aecengineering.net,6.4,13,0.49,Aaron Ament,CEO,
S,,Aegis Renewable Energy,Renewable energy semiconductor manufacturing,"340 Mad River Park, Suite 6",Waitsfield,VT,5673,(802) 496-5155,https://www.aegis-re.com/,5,14,0.36,Nils Behn,"Chief Executive Officer, President",
I,,"AeroSpec, Inc","Machine vision and integration, precision tooling and fixtures, laser systems, industrial control panels, pilot lines and process development, robotics",505 E Alamo Dr,Chandler,AZ,85225,(480) 892-7195,http://aerospecinc.com/,34.8,70,0.50,Steve Marinella,President,stevem@aerospecinc.com
I,,"AES Controls, Inc.","Rockwell, ABB, CE, FANUC, Inductive, UL, PSI Cognex",8600 Harrison Pike,Cleves,OH,45002,(513) 771-2374,www.aescontrols.com,5,15,0.33,Rick Salerno ,President,rsalerno@aescontrols.com
I,,aeSolutions,"Alarm management, migrations and upgrades, fired equipment, conbustible and toxic gas, machiners safety, process safety, project management, SIS engineering","250 Commonwealth Dr, Suite 200",Greenville,SC,29615,(864) 676-0600,aesolutions.com,12.2,47,0.26,Brian Merriman,President & CEO,
I,,AFC Tool,metal manufacturing,4900 Webster St.,Dayton,OH,45414,(937)-275-8700,www.afctool.com,42.6,83,0.51,Jeff Perry,"VP, Operations",jperry@afctool.com
A,,"Affiliated Control Equipment, Inc.",Industrial automation; Festo; Mitsubishi,640 Wheat Lane,Wood Dale,IL,60191,(630) 595-4680,www.affiliatedcontrol.com,19.9,25,0.80,Ronald Sorrentino,President,
I,,Affinity Energy,"GE Solutions, Microsoft, Schnieder",11900 Sam Roper Dr,Charlotte,NC,28269,(704) 766-2060 x110,https://www.affinityenergy.com/#,1,13,0.08,Allan Evora,President,aevora@affinityenergy.com
I,,"Affinity Engineering, Inc.","Planning and Facility assessments,Water treatment plant operations,Water infrastructure design",106 E 6th Suit 900-111,Rancho Cordova,CA,95742,(916) 613-7582,http://www.affinityengineering.com/,3,20,0.15,Jim Carson,President,jcarson@affinityengineering.com
S,,Affordable Solar,Utility,4840 Pan American E FWY NE,Albuquerque,NM,87109,(505) 305-0278,http://affordable-solar.com/,52,123,0.42,Ryan Centerwall,CEO,
D,,"AFP Industries, Inc.",Parker,7900 Whitepine Rd.,Richmond,VA,23237,(804) 275-1436,www.afpind.com,20.5,87,0.24,Donald Sprague,CEO,
I,,"Agape Collaborations, Inc.",Integrator Guide,3565 North Parkway,Cumming,GA,30040,(770) 355-1687,www.agape-inc.com,1,25,0.04,Steve Powell ,President,swpowell@agape-inc.com
D,,AGI Industries Inc.,Eaton,Highway 90 East,Lafayette,LA,70502,(318) 233-0828,www.agiindustries.com,49.5,176,0.28,David George,Owner,d.george@agiindustries.com
I,,Ai Control Systems,"Control system planning, design, engineering, testing, prototyping",90 Water Street,Reading,PA,19605,(610) 921-9670,www.aicontrols.com,5,28,0.18,Thomas Albright,President,thomasa@aicontrols.com
C,,Air & Hydraulic Equipment Inc.,"Custom machine building, industrial pressing, custom power unit",821 E. 11th St.,Chattanooga,TN,37403,(423) 756-2000,www.aheinfo.com,37.8,56,0.68,Richard LaFollette,President/ CEO,
C,,Air Brake & Power Equipment Co. LLC,Compressed air systems and On/Off road heavy equipment parts,1048 Bakery Rd.,Pottsville,PA,17901,(570) 622-6188,www.airbrakeandpower.com,5,16,0.31,Eddie Taylor,Owner,etaylor@airbrakepower.com
C,,Air Capital Equipment,service compressed air equipment,806 E Boston St,Wichita,KS,67211,(316) 522-1111,www.aircapitalequipment.com,9.2,27,0.34,David A. McGee,President/ Owner,ace@aircapitalequipment.com
C,,Air Centers of Florida/ACF Inc.,compressed air solutions,9311 Solar Dr,Tampa,FL,33619,(813) 621-9671,https://www.aircentersofflorida.com/,100,500,0.20,Andrew Young,CEO,
